iter	RMSE
96	3.603866551e-13
97	3.599717852e-13
98	3.595628506e-13
99	3.591597713e-13
100	3.587624681e-13
101	3.583708631e-13
102	3.579848788e-13
103	3.576044391e-13
104	3.572294684e-13
105	3.568598924e-13
106	3.564956373e-13
107	3.561366304e-13
108	3.557828e-13
109	3.55434075e-13
110	3.550903853e-13
111	3.547516617e-13
112	3.544178357e-13
113	3.540888399e-13
114	3.537646074e-13
115	3.534450724e-13
116	3.531301698e-13
117	3.528198354e-13
118	3.525140056e-13
119	3.522126178e-13
120	3.519156101e-13
121	3.516229214e-13
122	3.513344914e-13
123	3.510502605e-13
124	3.507701699e-13
125	3.504941616e-13
126	3.502221782e-13
127	3.499541632e-13
128	3.496900608e-13
129	3.494298157e-13
130	3.491733736e-13
131	3.489206809e-13
132	3.486716844e-13
133	3.484263318e-13
134	3.481845716e-13
135	3.479463528e-13
136	3.477116251e-13
137	3.474803388e-13
138	3.472524451e-13
139	3.470278955e-13
140	3.468066424e-13
141	3.465886387e-13
142	3.463738381e-13
143	3.461621947e-13
144	3.459536634e-13
145	3.457481995e-13
146	3.455457591e-13
147	3.453462988e-13
148	3.451497757e-13
149	3.449561477e-13
150	3.447653731e-13
151	3.445774108e-13
152	3.443922203e-13
153	3.442097616e-13
154	3.440299952e-13
155	3.438528822e-13
156	3.436783844e-13
157	3.435064638e-13
158	3.433370831e-13
159	3.431702056e-13
160	3.430057949e-13
161	3.428438152e-13
162	3.426842313e-13
163	3.425270083e-13
164	3.423721119e-13
165	3.422195082e-13
166	3.420691639e-13
167	3.419210461e-13
168	3.417751222e-13
169	3.416313603e-13
170	3.414897288e-13
171	3.413501967e-13
172	3.412127331e-13
173	3.41077308e-13
174	3.409438914e-13
175	3.40812454e-13
176	3.406829668e-13
177	3.405554012e-13
178	3.40429729e-13
179	3.403059225e-13
180	3.401839542e-13
181	3.400637973e-13
182	3.39945425e-13
183	3.398288112e-13
184	3.3971393e-13
185	3.396007559e-13
186	3.394892638e-13
187	3.39379429e-13
188	3.392712269e-13
189	3.391646336e-13
190	3.390596253e-13
191	3.389561787e-13
192	3.388542708e-13
193	3.387538787e-13
194	3.386549802e-13
195	3.385575532e-13
196	3.384615759e-13
197	3.383670269e-13
198	3.38273885e-13
199	3.381821296e-13
200	3.3809174e-13
201	3.380026961e-13
202	3.379149779e-13
203	3.378285658e-13
204	3.377434404e-13
205	3.376595827e-13
206	3.375769739e-13
207	3.374955955e-13
208	3.374154292e-13
209	3.37336457e-13
210	3.372586612e-13
211	3.371820244e-13
212	3.371065293e-13
213	3.370321591e-13
214	3.369588969e-13
215	3.368867263e-13
216	3.368156311e-13
217	3.367455954e-13
218	3.366766033e-13
219	3.366086394e-13
220	3.365416883e-13
221	3.36475735e-13
222	3.364107646e-13
223	3.363467625e-13
224	3.362837143e-13
225	3.362216059e-13
226	3.361604231e-13
227	3.361001522e-13
228	3.360407797e-13
229	3.359822921e-13
230	3.359246763e-13
231	3.358679192e-13
232	3.358120082e-13
233	3.357569304e-13
234	3.357026737e-13
235	3.356492256e-13
236	3.355965741e-13
237	3.355447074e-13
238	3.354936138e-13
239	3.354432816e-13
240	3.353936997e-13
241	3.353448566e-13
242	3.352967416e-13
243	3.352493435e-13
244	3.352026519e-13
245	3.351566561e-13
246	3.351113457e-13
247	3.350667105e-13
248	3.350227404e-13
249	3.349794256e-13
250	3.349367561e-13
251	3.348947224e-13
252	3.348533149e-13
253	3.348125244e-13
254	3.347723416e-13
255	3.347327574e-13
256	3.346937629e-13
257	3.346553492e-13
258	3.346175078e-13
259	3.345802299e-13
260	3.345435073e-13
261	3.345073317e-13
262	3.344716948e-13
263	3.344365885e-13
264	3.344020051e-13
265	3.343679366e-13
266	3.343343754e-13
267	3.343013138e-13
268	3.342687445e-13
269	3.3423666e-13
270	3.342050531e-13
271	3.341739167e-13
272	3.341432437e-13
273	3.341130273e-13
274	3.340832605e-13
275	3.340539367e-13
276	3.340250492e-13
277	3.339965916e-13
278	3.339685574e-13
279	3.339409402e-13
280	3.339137339e-13
281	3.338869322e-13
282	3.338605292e-13
283	3.33834519e-13
284	3.338088955e-13
285	3.33783653e-13
286	3.33758786e-13
287	3.337342886e-13
288	3.337101555e-13
289	3.336863811e-13
290	3.336629601e-13
291	3.336398873e-13
292	3.336171573e-13
293	3.335947652e-13
294	3.335727058e-13
295	3.335509742e-13
296	3.335295655e-13
297	3.335084749e-13
298	3.334876975e-13
299	3.334672288e-13
300	3.334470641e-13
301	3.334271988e-13
302	3.334076286e-13
303	3.33388349e-13
304	3.333693556e-13
305	3.333506442e-13
306	3.333322105e-13
307	3.333140505e-13
308	3.3329616e-13
309	3.33278535e-13
310	3.332611716e-13
311	3.332440658e-13
312	3.332272138e-13
313	3.332106118e-13
314	3.331942561e-13
315	3.331781429e-13
316	3.331622688e-13
317	3.331466301e-13
318	3.331312232e-13
319	3.331160448e-13
320	3.331010914e-13
321	3.330863597e-13
322	3.330718464e-13
323	3.330575481e-13
324	3.330434618e-13
325	3.330295842e-13
326	3.330159122e-13
327	3.330024428e-13
328	3.329891729e-13
329	3.329760996e-13
330	3.329632199e-13
331	3.329505309e-13
332	3.329380298e-13
333	3.329257139e-13
334	3.329135802e-13
335	3.329016262e-13
336	3.328898492e-13
337	3.328782464e-13
338	3.328668154e-13
339	3.328555535e-13
340	3.328444583e-13
341	3.328335271e-13
342	3.328227577e-13
343	3.328121476e-13
344	3.328016945e-13
345	3.327913959e-13
346	3.327812496e-13
347	3.327712533e-13
348	3.327614048e-13
349	3.327517018e-13
350	3.327421423e-13
351	3.327327241e-13
352	3.327234451e-13
353	3.327143032e-13
354	3.327052963e-13
355	3.326964225e-13
356	3.326876798e-13
357	3.326790662e-13
358	3.326705798e-13
359	3.326622188e-13
360	3.326539811e-13
361	3.326458652e-13
362	3.32637869e-13
363	3.326299908e-13
364	3.32622229e-13
365	3.326145817e-13
366	3.326070472e-13
367	3.325996239e-13
368	3.325923101e-13
369	3.325851042e-13
370	3.325780046e-13
371	3.325710096e-13
372	3.325641179e-13
373	3.325573278e-13
374	3.325506377e-13
375	3.325440463e-13
376	3.325375521e-13
377	3.325311536e-13
378	3.325248494e-13
379	3.32518638e-13
380	3.325125182e-13
381	3.325064886e-13
382	3.325005478e-13
383	3.324946945e-13
384	3.324889273e-13
385	3.324832452e-13
386	3.324776467e-13
387	3.324721306e-13
388	3.324666957e-13
389	3.324613409e-13
390	3.324560648e-13
391	3.324508664e-13
392	3.324457445e-13
393	3.32440698e-13
394	3.324357257e-13
395	3.324308265e-13
396	3.324259995e-13
397	3.324212434e-13
398	3.324165572e-13
399	3.3241194e-13
400	3.324073907e-13
401	3.324029082e-13
402	3.323984916e-13
403	3.3239414e-13
404	3.323898523e-13
405	3.323856276e-13
406	3.32381465e-13
407	3.323773636e-13
408	3.323733224e-13
409	3.323693405e-13
410	3.323654172e-13
411	3.323615515e-13
412	3.323577425e-13
413	3.323539895e-13
414	3.323502916e-13
415	3.323466479e-13
416	3.323430578e-13
417	3.323395203e-13
418	3.323360347e-13
419	3.323326003e-13
420	3.323292163e-13
421	3.32325882e-13
422	3.323225965e-13
423	3.323193593e-13
424	3.323161695e-13
425	3.323130265e-13
426	3.323099296e-13
427	3.323068781e-13
428	3.323038713e-13
429	3.323009086e-13
430	3.322979893e-13
431	3.322951128e-13
432	3.322922785e-13
433	3.322894857e-13
434	3.322867338e-13
435	3.322840223e-13
436	3.322813504e-13
437	3.322787177e-13
438	3.322761236e-13
439	3.322735674e-13
440	3.322710487e-13
441	3.322685668e-13
442	3.322661213e-13
443	3.322637116e-13
444	3.322613372e-13
445	3.322589975e-13
446	3.32256692e-13
447	3.322544203e-13
448	3.322521818e-13
449	3.322499761e-13
450	3.322478026e-13
451	3.322456609e-13
452	3.322435505e-13
453	3.32241471e-13
454	3.322394219e-13
455	3.322374028e-13
456	3.322354132e-13
457	3.322334527e-13
458	3.322315208e-13
459	3.322296172e-13
460	3.322277414e-13
461	3.322258929e-13
462	3.322240715e-13
463	3.322222768e-13
464	3.322205082e-13
465	3.322187654e-13
466	3.322170482e-13
467	3.32215356e-13
468	3.322136885e-13
469	3.322120453e-13
470	3.322104262e-13
471	3.322088306e-13
472	3.322072584e-13
473	3.322057091e-13
474	3.322041824e-13
475	3.32202678e-13
476	3.322011956e-13
477	3.321997348e-13
478	3.321982953e-13
479	3.321968768e-13
480	3.32195479e-13
481	3.321941015e-13
482	3.321927442e-13
483	3.321914066e-13
484	3.321900886e-13
485	3.321887898e-13
486	3.321875099e-13
487	3.321862486e-13
488	3.321850058e-13
489	3.32183781e-13
490	3.321825741e-13
491	3.321813848e-13
492	3.321802128e-13
493	3.321790579e-13
494	3.321779198e-13
495	3.321767983e-13
496	3.321756931e-13
497	3.321746041e-13
498	3.321735308e-13
499	3.321724732e-13
500	3.321714311e-13
501	3.32170404e-13
502	3.32169392e-13
503	3.321683946e-13
504	3.321674118e-13
505	3.321664433e-13
506	3.321654888e-13
507	3.321645483e-13
508	3.321636214e-13
509	3.32162708e-13
510	3.321618079e-13
511	3.321609209e-13
512	3.321600468e-13
513	3.321591855e-13
514	3.321583366e-13
515	3.321575001e-13
516	3.321566757e-13
517	3.321558633e-13
518	3.321550628e-13
519	3.321542738e-13
520	3.321534964e-13
521	3.321527302e-13
522	3.321519752e-13
523	3.321512311e-13
524	3.321504979e-13
525	3.321497753e-13
526	3.321490632e-13
527	3.321483614e-13
528	3.321476698e-13
529	3.321469883e-13
530	3.321463167e-13
531	3.321456548e-13
532	3.321450026e-13
533	3.321443598e-13
534	3.321437263e-13
535	3.32143102e-13
536	3.321424868e-13
537	3.321418805e-13
538	3.321412831e-13
539	3.321406942e-13
540	3.32140114e-13
541	3.321395421e-13
542	3.321389786e-13
543	3.321384232e-13
544	3.321378759e-13
545	3.321373365e-13
546	3.321368049e-13
547	3.32136281e-13
548	3.321357648e-13
549	3.32135256e-13
550	3.321347546e-13
551	3.321342605e-13
552	3.321337735e-13
553	3.321332936e-13
554	3.321328206e-13
555	3.321323545e-13
556	3.321318952e-13
557	3.321314425e-13
558	3.321309964e-13
559	3.321305567e-13
560	3.321301234e-13
561	3.321296964e-13
562	3.321292755e-13
563	3.321288608e-13
564	3.321284521e-13
565	3.321280492e-13
566	3.321276523e-13
567	3.32127261e-13
568	3.321268754e-13
569	3.321264955e-13
570	3.32126121e-13
571	3.321257519e-13
572	3.321253882e-13
573	3.321250297e-13
574	3.321246764e-13
575	3.321243282e-13
576	3.321239851e-13
577	3.321236469e-13
578	3.321233137e-13
579	3.321229852e-13
580	3.321226615e-13
581	3.321223425e-13
582	3.321220281e-13
583	3.321217182e-13
584	3.321214128e-13
585	3.321211119e-13
586	3.321208153e-13
587	3.321205229e-13
588	3.321202348e-13
589	3.321199509e-13
590	3.321196711e-13
591	3.321193953e-13
592	3.321191235e-13
593	3.321188556e-13
594	3.321185916e-13
595	3.321183314e-13
596	3.32118075e-13
597	3.321178223e-13
598	3.321175732e-13
599	3.321173277e-13
600	3.321170858e-13
601	3.321168474e-13
602	3.321166124e-13
603	3.321163808e-13
604	3.321161525e-13
605	3.321159275e-13
606	3.321157058e-13
607	3.321154873e-13
608	3.32115272e-13
609	3.321150597e-13
610	3.321148505e-13
611	3.321146444e-13
612	3.321144412e-13
613	3.321142409e-13
614	3.321140435e-13
615	3.32113849e-13
616	3.321136573e-13
617	3.321134684e-13
618	3.321132821e-13
619	3.321130986e-13
620	3.321129177e-13
621	3.321127394e-13
622	3.321125637e-13
623	3.321123905e-13
624	3.321122199e-13
625	3.321120516e-13
626	3.321118858e-13
627	3.321117224e-13
628	3.321115614e-13
629	3.321114027e-13
630	3.321112462e-13
631	3.321110921e-13
632	3.321109401e-13
633	3.321107903e-13
634	3.321106427e-13
635	3.321104972e-13
636	3.321103538e-13
637	3.321102125e-13
638	3.321100732e-13
639	3.32109936e-13
640	3.321098006e-13
641	3.321096673e-13
642	3.321095359e-13
643	3.321094063e-13
644	3.321092786e-13
645	3.321091528e-13
646	3.321090288e-13
647	3.321089066e-13
648	3.321087861e-13
649	3.321086673e-13
650	3.321085503e-13
651	3.321084349e-13
652	3.321083213e-13
653	3.321082092e-13
654	3.321080988e-13
655	3.321079899e-13
656	3.321078826e-13
657	3.321077769e-13
658	3.321076727e-13
659	3.3210757e-13
660	3.321074687e-13
661	3.321073689e-13
662	3.321072706e-13
663	3.321071736e-13
664	3.321070781e-13
665	3.321069839e-13
666	3.321068911e-13
667	3.321067997e-13
668	3.321067095e-13
669	3.321066206e-13
670	3.32106533e-13
671	3.321064467e-13
672	3.321063616e-13
673	3.321062778e-13
674	3.321061951e-13
675	3.321061136e-13
676	3.321060333e-13
677	3.321059542e-13
678	3.321058762e-13
679	3.321057993e-13
680	3.321057235e-13
681	3.321056488e-13
682	3.321055752e-13
683	3.321055027e-13
684	3.321054311e-13
685	3.321053607e-13
686	3.321052912e-13
687	3.321052227e-13
688	3.321051552e-13
689	3.321050887e-13
690	3.321050231e-13
691	3.321049585e-13
692	3.321048948e-13
693	3.32104832e-13
694	3.321047701e-13
695	3.321047091e-13
696	3.32104649e-13
697	3.321045897e-13
698	3.321045313e-13
699	3.321044738e-13
700	3.32104417e-13
701	3.321043611e-13
702	3.32104306e-13
703	3.321042516e-13
704	3.321041981e-13
705	3.321041453e-13
706	3.321040933e-13
707	3.32104042e-13
708	3.321039915e-13
709	3.321039416e-13
710	3.321038925e-13
711	3.321038441e-13
712	3.321037964e-13
713	3.321037494e-13
714	3.321037031e-13
715	3.321036574e-13
716	3.321036124e-13
717	3.32103568e-13
718	3.321035242e-13
719	3.321034811e-13
720	3.321034386e-13
721	3.321033967e-13
722	3.321033554e-13
723	3.321033148e-13
724	3.321032746e-13
725	3.321032351e-13
726	3.321031961e-13
727	3.321031577e-13
728	3.321031199e-13
729	3.321030825e-13
730	3.321030458e-13
731	3.321030095e-13
732	3.321029738e-13
733	3.321029385e-13
734	3.321029038e-13
735	3.321028696e-13
736	3.321028359e-13
737	3.321028026e-13
738	3.321027698e-13
739	3.321027375e-13
740	3.321027057e-13
741	3.321026743e-13
742	3.321026434e-13
743	3.321026129e-13
744	3.321025828e-13
745	3.321025532e-13
746	3.32102524e-13
747	3.321024952e-13
748	3.321024669e-13
749	3.321024389e-13
750	3.321024114e-13
751	3.321023842e-13
752	3.321023574e-13
753	3.32102331e-13
754	3.32102305e-13
755	3.321022794e-13
756	3.321022541e-13
757	3.321022292e-13
758	3.321022046e-13
759	3.321021804e-13
760	3.321021565e-13
761	3.32102133e-13
762	3.321021098e-13
763	3.32102087e-13
764	3.321020645e-13
765	3.321020423e-13
766	3.321020204e-13
767	3.321019988e-13
768	3.321019775e-13
769	3.321019566e-13
770	3.321019359e-13
771	3.321019156e-13
772	3.321018955e-13
773	3.321018757e-13
774	3.321018562e-13
775	3.32101837e-13
776	3.32101818e-13
777	3.321017994e-13
778	3.32101781e-13
779	3.321017628e-13
780	3.321017449e-13
781	3.321017273e-13
782	3.321017099e-13
783	3.321016928e-13
784	3.321016759e-13
785	3.321016593e-13
786	3.321016429e-13
787	3.321016267e-13
788	3.321016108e-13
789	3.32101595e-13
790	3.321015796e-13
791	3.321015643e-13
792	3.321015493e-13
793	3.321015344e-13
794	3.321015198e-13
795	3.321015054e-13
796	3.321014912e-13
797	3.321014772e-13
798	3.321014634e-13
799	3.321014498e-13
800	3.321014364e-13
801	3.321014231e-13
802	3.321014101e-13
803	3.321013973e-13
804	3.321013846e-13
805	3.321013721e-13
806	3.321013598e-13
807	3.321013477e-13
808	3.321013358e-13
809	3.32101324e-13
810	3.321013124e-13
811	3.321013009e-13
812	3.321012896e-13
813	3.321012785e-13
814	3.321012676e-13
815	3.321012567e-13
816	3.321012461e-13
817	3.321012356e-13
818	3.321012252e-13
819	3.32101215e-13
820	3.32101205e-13
821	3.321011951e-13
822	3.321011853e-13
823	3.321011757e-13
824	3.321011662e-13
825	3.321011568e-13
826	3.321011476e-13
827	3.321011385e-13
828	3.321011295e-13
829	3.321011207e-13
830	3.32101112e-13
831	3.321011034e-13
832	3.321010949e-13
833	3.321010866e-13
834	3.321010784e-13
835	3.321010703e-13
836	3.321010623e-13
837	3.321010544e-13
838	3.321010466e-13
839	3.32101039e-13
840	3.321010315e-13
841	3.32101024e-13
842	3.321010167e-13
843	3.321010095e-13
844	3.321010023e-13
845	3.321009953e-13
846	3.321009884e-13
847	3.321009816e-13
848	3.321009749e-13
849	3.321009682e-13
850	3.321009617e-13
851	3.321009553e-13
852	3.321009489e-13
853	3.321009426e-13
854	3.321009365e-13
855	3.321009304e-13
856	3.321009244e-13
857	3.321009185e-13
858	3.321009127e-13
859	3.321009069e-13
860	3.321009013e-13
861	3.321008957e-13
862	3.321008902e-13
863	3.321008848e-13
864	3.321008794e-13
865	3.321008742e-13
866	3.32100869e-13
867	3.321008639e-13
868	3.321008588e-13
869	3.321008538e-13
870	3.321008489e-13
871	3.321008441e-13
872	3.321008393e-13
873	3.321008346e-13
874	3.3210083e-13
875	3.321008254e-13
876	3.32100821e-13
877	3.321008165e-13
878	3.321008121e-13
879	3.321008078e-13
880	3.321008036e-13
881	3.321007994e-13
882	3.321007953e-13
883	3.321007912e-13
884	3.321007872e-13
885	3.321007833e-13
886	3.321007794e-13
887	3.321007755e-13
888	3.321007717e-13
889	3.32100768e-13
890	3.321007643e-13
891	3.321007607e-13
892	3.321007571e-13
893	3.321007536e-13
894	3.321007501e-13
895	3.321007467e-13
896	3.321007433e-13
897	3.3210074e-13
898	3.321007367e-13
899	3.321007335e-13
900	3.321007303e-13
901	3.321007272e-13
902	3.321007241e-13
903	3.32100721e-13
904	3.32100718e-13
905	3.32100715e-13
906	3.321007121e-13
907	3.321007092e-13
908	3.321007064e-13
909	3.321007036e-13
910	3.321007008e-13
911	3.321006981e-13
912	3.321006954e-13
913	3.321006928e-13
914	3.321006902e-13
915	3.321006876e-13
916	3.321006851e-13
917	3.321006826e-13
918	3.321006801e-13
919	3.321006777e-13
920	3.321006753e-13
921	3.321006729e-13
922	3.321006706e-13
923	3.321006683e-13
924	3.32100666e-13
925	3.321006638e-13
926	3.321006616e-13
927	3.321006595e-13
928	3.321006573e-13
929	3.321006552e-13
930	3.321006532e-13
931	3.321006511e-13
932	3.321006491e-13
933	3.321006471e-13
934	3.321006452e-13
935	3.321006432e-13
936	3.321006413e-13
937	3.321006394e-13
938	3.321006376e-13
939	3.321006358e-13
940	3.32100634e-13
941	3.321006322e-13
942	3.321006305e-13
943	3.321006287e-13
944	3.32100627e-13
945	3.321006254e-13
946	3.321006237e-13
947	3.321006221e-13
948	3.321006205e-13
949	3.321006189e-13
950	3.321006174e-13
951	3.321006158e-13
952	3.321006143e-13
953	3.321006128e-13
954	3.321006114e-13
955	3.321006099e-13
956	3.321006085e-13
957	3.321006071e-13
958	3.321006057e-13
959	3.321006043e-13
960	3.32100603e-13
961	3.321006016e-13
962	3.321006003e-13
963	3.32100599e-13
964	3.321005978e-13
965	3.321005965e-13
966	3.321005953e-13
967	3.321005941e-13
968	3.321005929e-13
969	3.321005917e-13
970	3.321005905e-13
971	3.321005893e-13
972	3.321005882e-13
973	3.321005871e-13
974	3.32100586e-13
975	3.321005849e-13
976	3.321005838e-13
977	3.321005828e-13
978	3.321005817e-13
979	3.321005807e-13
980	3.321005797e-13
981	3.321005787e-13
982	3.321005777e-13
983	3.321005767e-13
984	3.321005758e-13
985	3.321005748e-13
986	3.321005739e-13
987	3.32100573e-13
988	3.321005721e-13
989	3.321005712e-13
990	3.321005703e-13
991	3.321005695e-13
992	3.321005686e-13
993	3.321005678e-13
994	3.321005669e-13
995	3.321005661e-13
996	3.321005653e-13
997	3.321005645e-13
998	3.321005637e-13
999	3.32100563e-13
